state,perrep,perdem,perind,permultiracial,perwhite,perblack,perindig,perasian,perpacific,perother,perlatinx,popcit18plus,percit18plusmale,percit18plusfem,medage,perhsplus,perugplus,unemp,medhhincome,per2034,per3554,per5564,per65plus,singledadfam,singlemomfam,vets,bornstateres,forborncit,noneng,spanish,nonengsp,nonsplang,splang,forlang,meanhhincome,perfoodstamp,percapitainc,medearngap,perhealthins,perbelowpov,minblack,minlatinx,minother,femdomcit18plus,femdom,gunbckcheck,evangelical_pop,vepvotingrate,wideo,citi6013,w_gayrights_employment_discrimit,giexorder,gilaw,giexorder_law,soexorder,solaw,soexorder_law,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,regulation_physician_suicide,earned_income_taxcredit,x_tax_rate_rich,x_top_corporateincometaxrate,genderrights_era_ratification,genderrights_state_eras,genrights_genddiscrim_post1964,statemin,employ_pop,pctwomenearn,death_penalty,w_ec_access,abortion_consent_1992_2014,w_abortion_parental_notice_1983_,abortion_medicaid
Alabama,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1
Alaska,39,32,29,8.6,72.8,5,19.5,8.2,1.5,2.1,7,528248,53.5,46.5,33.3,92.6,29.7,7.9,73355,24.6,25,12.9,9.6,6,11.3,12.5,41.8,55.3,16.2,4,12.2,1,0,1,92876,10.8,34352,12297,85.1,10.3,0,0,1,0,0,265709,42.799999,0.59,-0.646369517,60.27676,0,0,0,0,0,0,0,0,1,0,0,0,3.31,6.5,0,0,0,7.25,0.7297855,75.49,0,0,1,2,0
Arizona,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0
Arkansas,46,38,16,2.2,79.5,16.6,1.6,1.8,0.3,2.4,7,2185724,48.2,51.8,37.9,85.4,21.8,5.8,41995,19.6,25.2,12.6,16.1,4.4,13.1,9.1,61.7,33.1,7.3,5.2,2.1,0,1,2,59275,13.7,23589,8567,90.5,19.1,1,0,0,1,1,232529,18.1,0.53,-0.173709169,29.77492,0,0,0,0,1,0,1,0,1,1,0,0,4.34,6.5,0,0,1,7.9,0.74469575,84,0,0,1,2,1
California,30,49,21,4.5,64.6,6.9,1.8,16.1,0.8,14.6,38.8,25002812,49,51,36.2,82.2,32.3,7.3,64500,22.3,26.7,11.8,13.3,6,13.3,5.5,54.8,49.7,44.6,29.1,15.5,0,1,2,91757,9.7,31587,7227,91.4,15.3,0,1,0,1,1,778802,11.5,0.55,-0.042022485,57.35839,2,0,1,1,1,1,1,1,0,1,0,0,13.04,8.84,1,1,1,9,0.746915,89.94,0,2,0,0,1
Colorado,41,42,17,3.5,87.6,5.2,2,4.2,0.4,4.5,21.3,3896986,49.7,50.3,36.4,91.2,39.2,5.2,63909,22.2,26.5,12.6,13,4.5,9.7,9,42.7,38.7,17.2,12.2,5,0,1,2,85915,8.4,33563,9938,91.9,11.5,0,1,0,1,0,280184,14.8,0.70,0.108682685,48.5148,2,0,1,1,1,1,1,0,1,1,0,0,4.63,4.63,1,1,1,8,0.80167325,79.57,0,0,0,1,0
Connecticut,32,50,18,3.2,79.2,12.2,1.1,5.2,0.1,5.9,15.4,2584884,47.8,52.2,40.6,90.2,38.3,6.9,71346,19.2,27,13.9,15.8,4.3,12.7,6.2,55.3,48.8,22.4,11.8,10.6,0,1,2,101347,12.6,39430,10864,94,10.5,0,1,0,1,1,166942,4.8000002,0.61,0.193652749,91.8518,2,0,1,1,0,1,1,1,1,1,0,1,6.7,7.5,1,1,1,8.7,0.793729,79.39,1,1,0,0,1
Delaware,29,55,17,3,71.7,23.6,1,4.4,0.1,2.4,9,697148,47.4,52.6,39.7,88.9,30.9,5.8,61255,19.8,25.4,13.5,17,4.6,13.8,8.7,45.6,45.2,13.1,7.2,5.9,0,1,2,81120,13,31441,5845,94.1,12.4,1,0,0,1,1,304,4,0.62,0.044365291,66.41663,2,,1,1,,,1,1,0,1,0,1,8.5,9.5,1,0,1,9.5,0.798776875,85.19,1,1,0,0,1
District of Columbia,11,73,15,3.2,42.5,48.9,0.9,5.2,0.3,5.8,10.6,504242,46.6,53.4,33.8,89.8,56.7,7.3,75628,31.4,25.8,10.4,11.4,3.8,15.1,4.7,35.8,43.8,17.4,8.9,8.5,0,1,2,114600,15.3,50187,10039,96.2,17.3,1,0,0,1,1,18905,7.6999998,0.63,0.424364209,91.8518,2,1,1,1,1,1,1,0,0,0,0,1,6.75,8.7,1,0,1,7.75,0.7938435,82.54,0,1,1,1,0
Florida,37,44,19,2.5,77.8,17.4,0.8,3.4,0.2,3.1,24.5,14441877,48,52,41.8,87.6,28.4,7,49426,19.1,25.7,13.1,19.5,4.8,13.4,9.1,35.9,53.7,29,21.3,7.7,0,1,2,70462,14.9,27697,5501,86.7,15.7,0,1,0,1,1,547078,16.9,0.64,-0.116713881,44.98034,0,0,0,0,0,0,0,0,1,1,0,0,0,5.5,0,1,1,7.93,0.762346,83.81,0,0,1,1,0
