"state","Undecided","Other","poll_id","pollster","start_date","end_date","sample_subpopulation","sample_size","mode","partisanship","partisan_affiliation","reppoll","dempoll","libpoll","threepoll","grepoll","repres","demres","libres","greres","daystoelection","perrep","perdem","perind","permultiracial","perwhite","perblack","perindig","perasian","perpacific","perother","perlatinx","popcit18plus","percit18plusmale","percit18plusfem","medage","perhsplus","perugplus","unemp","medhhincome","per2034","per3554","per5564","per65plus","singledadfam","singlemomfam","vets","bornstateres","forborncit","noneng","spanish","nonengsp","nonsplang","splang","forlang","meanhhincome","perfoodstamp","percapitainc","medearngap","perhealthins","perbelowpov","minblack","minlatinx","minother","femdomcit18plus","femdom","gunbckcheck","evangelical_pop","vepvotingrate","wideo","citi6013","w_gayrights_employment_discrimit","giexorder","gilaw","giexorder_law","soexorder","solaw","soexorder_law","guncontrol_assaultweapon_ban","guncontrol_opencarry","labor_minwage_abovefed","regulation_physician_suicide","earned_income_taxcredit","x_tax_rate_rich","x_top_corporateincometaxrate","genderrights_era_ratification","genderrights_state_eras","genrights_genddiscrim_post1964","statemin","employ_pop","pctwomenearn","death_penalty","w_ec_access","abortion_consent_1992_2014","w_abortion_parental_notice_1983_","abortion_medicaid","demties","repties","libties","libties2","greties","greties2"
"AL",0,0,14263,"Capital Survey Research Center",2012-06-07,2012-06-27,"Likely Voters",551,"Live Phone","Nonpartisan","None",0.51,0.36,0,0,0,0.605458223298228,0.383590330987525,0.00594310088326975,0.00163763089718262,132,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0,0,0
"AZ",0.01,0,16560,"PPP (D)",2012-11-02,2012-11-03,"Likely Voters",1080,"Automated Phone","Pollster","Dem",0.53,0.46,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,3,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.03,0.02,16586,"YouGov",2012-10-31,2012-11-03,"Likely Voters",702,"Internet","Nonpartisan","None",0.52,0.44,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,3,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.02,0.02,16184,"Rasmussen/CBS 5",2012-10-21,2012-10-21,"Likely Voters",500,"Automated Phone","Nonpartisan","None",0.52,0.44,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,16,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.03,0.02,15861,"YouGov",2012-10-04,2012-10-11,"Likely Voters",469,"Internet","Nonpartisan","None",0.52,0.43,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,26,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.13,0.05,15765,"Behavior Research Center",2012-10-04,2012-10-10,"Registered Voters",523,"Live Phone","Nonpartisan","None",0.4,0.42,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,27,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.03,0,15503,"PPP (D)",2012-10-01,2012-10-03,"Likely Voters",595,"Automated Phone","Pollster","Dem",0.53,0.44,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,34,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.09,0.04,15409,"Moore Information (R-HighGround)",2012-09-25,2012-09-26,"Likely Voters",500,"Live Phone","Sponsor","Rep",0.46,0.42,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,41,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.02,0.04,15328,"Rasmussen",2012-09-25,2012-09-25,"Likely Voters",500,"Automated Phone","Nonpartisan","None",0.52,0.42,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,42,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
"AZ",0.07,0,15204,"Purple Strategies",2012-09-15,2012-09-19,"Likely Voters",600,"IVR/Online","Nonpartisan","None",0.48,0.45,0,0,0,0.536545331659747,0.445897669417994,0.0139610499753398,0.00339936344570891,48,40,39,21,3.3,80.3,5.5,5.5,4.1,0.4,7.8,30.7,4710448,49.2,50.8,37.4,86.1,27.7,6.9,51492,20.4,24.7,11.9,16.4,5.6,12.5,9.4,39.2,41.6,27.1,20.6,6.5,0,1,2,70638,13,26721,7337,89.2,17.4,0,1,0,1,1,155322,39.900002,0.51,-0.213788643,45.44423,0,0,0,0,0,0,0,0,1,0,0,0,7,6.5,0,0,0,6.25,0.73193725,88.52,0,0,1,2,0,0,0,0,0,0,0
