"state","Undecided","poll_id","pollster","start_date","end_date","sample_subpopulation","sample_size","mode","partisanship","partisan_affiliation","reppoll","dempoll","libpoll","threepoll","grepoll","Other","repres","demres","libres","greres","daystoelection","perrep","perdem","perind","permultiracial","perwhite","perblack","perindig","perasian","perpacific","perother","perlatinx","popcit18plus","percit18plusmale","percit18plusfem","medage","perhsplus","perugplus","unemp","medhhincome","per2034","per3554","per5564","per65plus","singledadfam","singlemomfam","vets","bornstateres","forborncit","noneng","spanish","nonengsp","nonsplang","splang","forlang","meanhhincome","perfoodstamp","percapitainc","medearngap","perhealthins","perbelowpov","minblack","minlatinx","minother","femdomcit18plus","femdom","gunbckcheck","evangelical_pop","vepvotingrate","wideo","citi6013","w_gayrights_employment_discrimit","giexorder","gilaw","giexorder_law","soexorder","solaw","soexorder_law","guncontrol_assaultweapon_ban","guncontrol_opencarry","labor_minwage_abovefed","regulation_physician_suicide","earned_income_taxcredit","x_tax_rate_rich","x_top_corporateincometaxrate","genderrights_era_ratification","genderrights_state_eras","genrights_genddiscrim_post1964","statemin","employ_pop","pctwomenearn","death_penalty","w_ec_access","abortion_consent_1992_2014","w_abortion_parental_notice_1983_","abortion_medicaid","demties","repties","libties","greties"
"AL",0.02,26807,"SurveyMonkey",2016-10-31,2016-11-07,"Likely Voters",1131,"Internet","Nonpartisan","None",0.55,0.36,0,0,0,0,0,0,0,0,1,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.05,26793,"UPI/CVOTER",2016-10-30,2016-11-06,"Likely Voters",341,"Internet","Nonpartisan","None",0.58,0.37,0,0,0,0,0,0,0,0,2,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.08,26806,"Ipsos/Reuters",2016-10-17,2016-11-06,"Likely Voters",585,"Internet","Nonpartisan","None",0.54,0.38,0,0,0,0,0,0,0,0,2,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.01,26572,"SurveyMonkey",2016-10-24,2016-10-30,"Likely Voters",410,"Internet","Nonpartisan","None",0.54,0.36,0,0,0,0,0,0,0,0,9,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.05,26592,"UPI/CVOTER",2016-10-23,2016-10-29,"Likely Voters",349,"Internet","Nonpartisan","None",0.58,0.37,0,0,0,0,0,0,0,0,10,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.02,26431,"SurveyMonkey",2016-10-17,2016-10-23,"Likely Voters",346,"Internet","Nonpartisan","None",0.51,0.37,0,0,0,0,0,0,0,0,16,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0,26288,"UPI/CVOTER",2016-10-09,2016-10-16,"Likely Voters",327,"Internet","Nonpartisan","None",0.57,0.38,0,0,0,0,0,0,0,0,23,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.08,26344,"Ipsos/Reuters",2016-09-23,2016-10-13,"Likely Voters",550,"Internet","Nonpartisan","None",0.54,0.38,0,0,0,0,0,0,0,0,26,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0.06,26097,"Ipsos/Reuters",2016-09-16,2016-10-06,"Likely Voters",580,"Internet","Nonpartisan","None",0.57,0.37,0,0,0,0,0,0,0,0,33,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
"AL",0,25898,"UPI/CVOTER",2016-09-19,2016-10-02,"Likely Voters",545,"Internet","Nonpartisan","None",0.59,0.36,0,0,0,0,0,0,0,0,37,52,35,13,1.8,70.2,27.6,1.2,1.6,0.2,1.3,4,3653381,47.5,52.5,38.7,84.9,24.2,7.2,44765,19.7,25.9,13.2,15.7,4.2,14.7,8.9,70.1,36.3,5.1,3.3,1.8,0,1,2,62307,15.5,24769,10747,89.9,18.5,1,0,0,1,1,56270,18.700001,0.59,-0.311133891,35.78529,0,0,0,0,1,0,1,0,1,1,0,0,0,9.4,1,1,1,7.75,0.7592515,79.02,1,2,1,1,1,0,0,0,0
